QID5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2.1,Q3.1,Q4.1,Q5.1,Q7.1,Q1.1,Q2_1,Q2_2,Q3.2,Q4.2 MC:Customizable,Q5.2 MC:Air barrier/Thermal properties that benefit envelope performance,Q5.2 MC:Fire resistant,Q5.2 MC:Flexural strength (more flexible than wood alone),Q3.3 MC:A.  Quality and durability,Q3.3 MC:B. Resale value,Q3.3 MC:C. Financing options,Q3.3 MC:D. Design and customization limitations,Q3.3 MC:E. Stigma or perception,Q3.3 MC:F. Other (Please Specify),Q5.2 MC:I wasn’t familiar with any of the benefits of metal as a building material,Q5.2 MC:Minimal UV damage,Q5.2 MC:Pest resistant,Q5.2 MC:nan,Q4.2 MC:Durable (structural integrity lends to longevity of the home),Q4.2 MC:Energy efficient,Q4.2 MC:Low cost,Q4.2 MC:No mold,Q4.2 MC:Non-combustible,Q4.2 MC:Shorter construction time (built in a quality-controlled environment),Q4.2 MC:Sustainable/Eco-friendly (built out of recycled containers),Q4.2 MC:nan,Q1_1.1,Q2.2,Q4.3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6.3,Q1_1.2,Q2_1.1,Q3_1,Q4_1,Q5_1.1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1
I am not connected to Intrepid Build,Female,55-64 years old,White/Caucasian,Own,Living with spouse/partner and children,Post-graduate,"More than $200,000",,Employed part-time,27527,1,4,5,6,3,2,7,"Single-family,Multi-family,Townhouse,Condo,2,6","2,000 to 2,500 sq ft",,,,Somewhat familiar,Neutral,Somewhat Favorable,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Neutral,,A.  Yes,1,3,2,4,5,6,No,Strongly agree,,,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,
I am not connected to Intrepid Build,Male,25-34 years old,White/Caucasian,Own,Living alone,Post-graduate,"$80,000 - $120,000",,Other (Please Specify),28315,1,2,3,4,6,5,7,"Single-family,Multi-family,Townhouse,Condo,2,6","2,000 to 2,500 sq ft",,,,Very familiar,Somewhat Favorable,Neutral,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Very Unlikely,,A.  Yes,2,5,3,4,1,6,Maybe,Agree,,,Neutral agree nor disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,
I am not connected to Intrepid Build,Female,25-34 years old,Latino or Hispanic,Rent,4,Some graduate,"$0 - $24,999","$500 - $1,000",Employed part-time,27701,2,1,3,7,4,8,6,Condo,"600 to 1,000 sq ft",Maybe,Yes,Yes,Somewhat familiar,Somewhat Favorable,Neutral,Somewhat familiar,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,Somewhat Likely,"$500 - $1,000",C. Indifferent,1,2,6,4,5,3,Maybe,Agree,Neutral agree nor disagree,,Agree,Strongly agree,Agree,Agree,Neutral agree nor disagree,Neutral agree nor disagree,Neutral agree nor disagree,Neutral agree nor disagree
I am not connected to Intrepid Build,Male,25-34 years old,Asian,Rent,Living with roommates,Post-graduate,"$0 - $24,999","$1,001 - $2,000",Seeking Employement,27516,2,1,3,7,8,6,4,Condo,"600 to 1,000 sq ft",Maybe,No,Indifferent,Not familiar at all,Very Favorable,Neutral,Not familiar at all,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Somewhat Likely,"$500 - $1,000",C. Indifferent,1,6,3,4,2,5,Maybe,Strongly agree,Agree,Neutral agree nor disagree,Neutral agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree
I am not connected to Intrepid Build,Female,25-34 years old,White/Caucasian,Own,Living with spouse/partner,Post-graduate,"$50,000 - $80,000","$1,001 - $2,000",Other (Please Specify),27243,2,1,3,8,6,7,4,Single-family,"1,500 to 2,000 sq ft",Maybe,Yes,Indifferent,Not familiar at all,Somewhat Unfavorable,Neutral,Not familiar at all,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,Very Likely,"$1,000 - $1,500",B. No,1,4,2,3,5,6,Yes,Agree,Strongly disagree,Disagree,Agree,Neutral agree nor disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree
I am not connected to Intrepid Build,Male,25-34 years old,Asian,Rent,Living alone,Post-graduate,"$120,000 - $150,000","$1,001 - $2,000",Seeking Employement,27514,2,1,3,7,8,6,5,Multi-family,"1,500 to 2,000 sq ft",Maybe,No,Indifferent,Somewhat familiar,Somewhat Favorable,Neutral,Not familiar at all,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,Neutral,"$1,000 - $1,500",A.  Yes,1,5,2,4,3,6,Yes,Agree,Disagree,Neutral agree nor disagree,Neutral agree nor disagree,Agree,Agree,Agree,Agree,Neutral agree nor disagree,Neutral agree nor disagree,Agree
I am not connected to Intrepid Build,Male,25-34 years old,White/Caucasian,Own,Living with spouse/partner,Some graduate,"$120,000 - $150,000","$3,0001 - $4,000",Unemployed,27511,1,3,4,8,6,7,5,Single-family,"2,000 to 2,500 sq ft",Yes,No,No,Somewhat familiar,Neutral,Somewhat Favorable,Somewhat familiar,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,Somewhat Likely,"$2,000 - $2,500",B. No,1,5,2,3,4,6,Yes,Strongly agree,Disagree,Disagree,Neutral agree nor disagree,Neutral agree nor disagree,Neutral agree nor disagree,Disagree,Agree,Neutral agree nor disagree,Disagree,Agree
I am not connected to Intrepid Build,Male,25-34 years old,White/Caucasian,Own,Living with spouse/partner,Some graduate,"$80,000 - $120,000","$1,001 - $2,000",Other (Please Specify),27504,6,3,4,5,7,2,8,Single-family,"1,500 to 2,000 sq ft",No,Yes,Yes,Somewhat familiar,Very Favorable,Neutral,Very familiar,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,Somewhat Likely,"$1,500 - $2,000",B. No,2,5,4,3,1,6,Maybe,Strongly agree,Agree,Disagree,Neutral agree nor disagree,Agree,Strongly agree,Strongly agree,Neutral agree nor disagree,Strongly disagree,Disagree,Disagree
I am not connected to Intrepid Build,Male,35-44 years old,White/Caucasian,Own,Living with spouse/partner and children,Some graduate,"$80,000 - $120,000","$2,001 - $3,000",Other (Please Specify),27514,1,2,4,8,5,7,6,Single-family,"1,500 to 2,000 sq ft",Yes,Yes,Indifferent,Not familiar at all,Somewhat Unfavorable,Somewhat Favorable,Not familiar at all,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Somewhat Likely,"$1,500 - $2,000",C. Indifferent,1,6,2,4,3,5,Yes,Agree,Disagree,Agree,Neutral agree nor disagree,Neutral agree nor disagree,Agree,Disagree,Neutral agree nor disagree,Neutral agree nor disagree,Agree,Disagree
I am not connected to Intrepid Build,Female,25-34 years old,White/Caucasian,Own,Living with spouse/partner and children,Post-graduate,"$150,000 - $200,000","$3,0001 - $4,000",Employed full-time,27344,1,2,3,7,6,5,4,Single-family,"2,000 to 2,500 sq ft",No,Yes,Yes,Somewhat familiar,Somewhat Unfavorable,Somewhat Favorable,Very familiar,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,Somewhat Likely,"$1,500 - $2,000",A.  Yes,1,5,3,2,4,6,Yes,Strongly agree,Neutral agree nor disagree,Disagree,Strongly agree,Neutral agree nor disagree,Agree,Strongly agree,Neutral agree nor disagree,Neutral agree nor disagree,Agree,Agree
